split_seed,cv_seed,best_n_estimators,best_max_depth,best_class_weight,best_score
0,0,100,10,None,0.955366135447469
0,1,100,10,None,0.9521048724428469
0,42,100,10,None,0.9611547222457075
0,99,100,10,None,0.9555668670692604
1,0,50,10,None,0.9485227694100715
1,1,100,10,None,0.9457750532725783
1,42,100,10,None,0.9434671813850859
1,99,100,10,None,0.9489769915849731
42,0,100,10,None,0.9415225713610722
42,1,100,10,None,0.9513151642285574
42,42,50,10,None,0.9463725112195357
42,99,100,10,None,0.9400337603915888
